calendar_year;project_has_data;pedro_table4_has_data;coverage_status;geographic_scope;recommended_series;ordering_concept;reported_incomes;tax_return_year;number_of_brackets;currency;aggregate_unit;bracket_limit_unit;primary_source;source_block;primary_source_url;primary_link_type;pdf_download_url;alternative_url;local_file;pdf_page;printed_page;table_or_panel;primary_sqlite_table;related_sqlite_tables;pedro_table4_source;pedro_table4_status;methodological_note;next_action
1982;1;1;"temos serie paralela: faixa por rendimento bruto; RLIQ so em blocos";Brasil;serie paralela por rendimento bruto;rendimento bruto total;"rendimento bruto; renda bruta; abatimentos/deducoes; RLIQ em blocos quando disponivel";1983;14;Cr$;Cr$ 1.000;Cr$ 1,00;Brasil. Ministerio da Fazenda. Secretaria da Receita Federal. Coordenacao do Sistema de Informacoes Economico-Fiscais. Imposto de Renda Pessoa Fisica 1983. Brasilia: Ministerio da Fazenda, 1983.;;https://archive.org/details/impostoderendape51983mini;Internet Archive;https://archive.org/download/impostoderendape51983mini/impostoderendape51983mini.pdf;https://archive.org/details/impostoderendape51983mini;outputs/fontes-pedro-souza-irpf/irpf_scan/pdf/impostoderendape51983mini.pdf;25;21;1;irpf_cief_1983_rendimento_bruto_totais;"irpf_cief_1983_renda_liquida_por_rendimento_bruto; irpf_cief_1983_renda_liquida_por_rendimento_bruto_totais; irpf_cief_1983_rendimento_bruto_faixas; irpf_cief_1983_rendimento_bruto_totais";IRPF 1980-1989;"consta na Tabela 4; Brasil";"tabelas classificam por rendimento bruto; renda liquida aparece so em blocos | A publicacao IRPF 1983 cobre ano-base 1982/exercicio 1983. Ela traz quadros nacionais no fechamento das tabelas por Unidades Federadas e Regioes Fiscais, mas o Quadro 2 continua decompondo a renda liquida calculada apenas em tres blocos: negativa, de zero a Cr$ 542.000 e acima de Cr$ 542.000. Por isso, a extracao foi preservada como serie paralela e nao deve ser misturada diretamente com a serie nacional comparavel por classes finas de renda liquida. Os valores nacionais foram conferidos nas imagens das paginas PDF 25 e 34, com apoio do OCR bruto e de recortes ampliados quando havia digitos ambiguos no scan. As diferencas remanescentes contra os totais publicados sao pequenas e foram preservadas na tabela de totais.";decidir tratamento metodologico: serie paralela ou harmonizacao por conceito
1983;1;1;"temos serie paralela: faixa por rendimento bruto; RLIQ so em blocos";Brasil;serie paralela por rendimento bruto;rendimento bruto total;"rendimento bruto; renda bruta; abatimentos/deducoes; RLIQ em blocos quando disponivel";1984;14;Cr$;Cr$ 1.000;Cr$ 1,00;Brasil. Ministerio da Fazenda. Secretaria da Receita Federal. Coordenacao do Sistema de Informacoes Economico-Fiscais. Imposto de Renda Pessoa Fisica 1984. Brasilia: Ministerio da Fazenda, 1984.;;https://archive.org/details/impostoderendape1984mini;Internet Archive;https://archive.org/download/impostoderendape1984mini/impostoderendape1984mini.pdf;https://archive.org/details/impostoderendape1984mini;outputs/fontes-pedro-souza-irpf/irpf_scan/pdf/impostoderendape1984mini.pdf;23;21;1;irpf_cief_1984_rendimento_bruto_totais;"irpf_cief_1984_renda_liquida_por_rendimento_bruto; irpf_cief_1984_renda_liquida_por_rendimento_bruto_totais; irpf_cief_1984_rendimento_bruto_faixas; irpf_cief_1984_rendimento_bruto_totais";IRPF 1980-1989;"consta na Tabela 4; Brasil";"tabelas classificam por rendimento bruto; renda liquida aparece so em blocos | A publicacao IRPF 1984 cobre ano-base 1983/exercicio 1984. Ela traz quadros nacionais no fechamento das tabelas por Unidades Federadas e Regioes Fiscais, mas o Quadro 2 continua decompondo a renda liquida calculada apenas em tres blocos: negativa, de zero a Cr$ 1.084.000 e acima de Cr$ 1.084.000. Por isso, a extracao foi preservada como serie paralela e nao deve ser misturada diretamente com a serie nacional comparavel por classes finas de renda liquida. Os valores nacionais foram conferidos nas imagens das paginas PDF 23 e 32, com apoio do OCR bruto e de recortes ampliados quando havia digitos ambiguos no scan. As diferencas remanescentes contra os totais publicados foram preservadas na tabela de totais.";decidir tratamento metodologico: serie paralela ou harmonizacao por conceito
1984;1;1;"temos serie paralela: faixa por rendimento bruto; RLIQ so em blocos";Brasil;serie paralela por rendimento bruto;rendimento bruto total;"rendimento bruto; renda bruta; abatimentos/deducoes; RLIQ em blocos quando disponivel";1985;14;Cr$;Cr$ 1.000;Cr$ 1,00;Brasil. Ministerio da Fazenda. Secretaria da Receita Federal. Coordenacao do Sistema de Informacoes Economico-Fiscais. Anuario Economico-Fiscal 1986. Brasilia: Ministerio da Fazenda, 1988.;;https://archive.org/details/anuareco1986minfaz;Internet Archive;https://archive.org/download/anuareco1986minfaz/anuareco1986minfaz.pdf;https://archive.org/details/anuareco1986minfaz;outputs/fontes-pedro-souza-irpf/irpf_scan/pdf/anuareco1986minfaz.pdf;224;230;1;irpf_aef_1986_rendimento_bruto_totais;"irpf_aef_1986_renda_liquida_por_rendimento_bruto; irpf_aef_1986_renda_liquida_por_rendimento_bruto_totais; irpf_aef_1986_rendimento_bruto_faixas; irpf_aef_1986_rendimento_bruto_totais";IRPF 1980-1989;"consta na Tabela 4; Brasil";"tabelas classificam por rendimento bruto; renda liquida aparece so em blocos | A publicacao traz o fechamento nacional por classes de rendimento bruto total. O Quadro 2 decompoe a renda liquida calculada apenas em tres blocos, e nao em classes finas de renda liquida. Por isso, a extracao foi preservada como serie paralela por rendimento bruto e nao deve ser misturada diretamente com a serie nacional comparavel de renda liquida. Valores nacionais conferidos visualmente na pagina PDF 224, pagina impressa 230, com apoio da camada OCR. O scan e legivel para extracao, mas algumas celulas monetarias finais apresentam degradacao visual; os totais publicados foram preservados nas tabelas de totais para auditoria.";decidir tratamento metodologico: serie paralela ou harmonizacao por conceito
1985;1;1;"temos serie paralela: faixa por rendimento bruto; RLIQ so em blocos";Brasil;serie paralela por rendimento bruto;rendimento bruto total;"rendimento bruto; renda bruta; abatimentos/deducoes; RLIQ em blocos quando disponivel";1986;14;CZ$;CZ$ 1,00;CZ$ 1,00;Brasil. Ministerio da Fazenda. Secretaria da Receita Federal. Coordenacao do Sistema de Informacoes Economico-Fiscais. Imposto de Renda Pessoa Fisica 1986. Brasilia: Ministerio da Fazenda, 1986.;;https://archive.org/details/secretrec00_2_00impostpfisviiii1986;Internet Archive;https://archive.org/download/secretrec00_2_00impostpfisviiii1986/secretrec00_2_00impostpfisviiii1986.pdf;https://archive.org/details/secretrec00_2_00impostpfisviiii1986;outputs/fontes-pedro-souza-irpf/irpf_scan/pdf/secretrec00_2_00impostpfisviiii1986.pdf;165;165;1;irpf_cief_1986_rendimento_bruto_totais;"irpf_cief_1986_renda_liquida_por_rendimento_bruto; irpf_cief_1986_renda_liquida_por_rendimento_bruto_totais; irpf_cief_1986_rendimento_bruto_faixas; irpf_cief_1986_rendimento_bruto_totais";IRPF 1980-1989;"consta na Tabela 4; Brasil";"tabelas classificam por rendimento bruto; renda liquida aparece so em blocos | A publicacao traz o fechamento nacional por classes de rendimento bruto total. O Quadro 2 decompoe a renda liquida calculada apenas em tres blocos, e nao em classes finas de renda liquida. Por isso, a extracao foi preservada como serie paralela por rendimento bruto e nao deve ser misturada diretamente com a serie nacional comparavel de renda liquida. Valores nacionais conferidos visualmente nas paginas PDF 165 e 174, com apoio do OCR bruto. A unidade monetaria dos agregados e CZ$ 1,00.";decidir tratamento metodologico: serie paralela ou harmonizacao por conceito
1986;1;1;"temos serie paralela: faixa por rendimento bruto; RLIQ so em blocos";Brasil;serie paralela por rendimento bruto;rendimento bruto total;"rendimento bruto; renda bruta; abatimentos/deducoes; RLIQ em blocos quando disponivel";1987;11;CZ$;CZ$ 1.000;CZ$ 1,00;Brasil. Ministerio da Fazenda. Secretaria da Receita Federal. Coordenacao do Sistema de Informacoes Economico-Fiscais. Imposto de Renda Pessoa Fisica 1987. Brasilia: Ministerio da Fazenda, 1987.;;https://archive.org/details/secretrec00_1_00impostpfisxi1987;Internet Archive;https://archive.org/download/secretrec00_1_00impostpfisxi1987/secretrec00_1_00impostpfisxi1987.pdf;https://archive.org/details/secretrec00_1_00impostpfisxi1987;outputs/fontes-pedro-souza-irpf/irpf_scan/pdf/secretrec00_1_00impostpfisxi1987.pdf;165;161;1;irpf_cief_1987_rendimento_bruto_totais;"irpf_cief_1987_renda_liquida_por_rendimento_bruto; irpf_cief_1987_renda_liquida_por_rendimento_bruto_totais; irpf_cief_1987_rendimento_bruto_faixas; irpf_cief_1987_rendimento_bruto_totais";IRPF 1980-1989;"consta na Tabela 4; Brasil";"tabelas classificam por rendimento bruto; renda liquida aparece so em blocos | A publicacao traz o fechamento nacional por classes de rendimento bruto total. O Quadro 2 decompoe a renda liquida calculada apenas em tres blocos, e nao em classes finas de renda liquida. Por isso, a extracao foi preservada como serie paralela por rendimento bruto e nao deve ser misturada diretamente com a serie nacional comparavel de renda liquida. Valores nacionais conferidos visualmente nas paginas PDF 165 e 174, com apoio do OCR bruto/XML. No Quadro 2, a coluna monetaria do imposto devido calculado esta cortada no limite direito do scan; por isso, esses valores foram mantidos como nulos.";decidir tratamento metodologico: serie paralela ou harmonizacao por conceito
1987;1;1;"temos serie paralela: faixa por rendimento bruto; RLIQ so em blocos";Brasil;serie paralela por rendimento bruto;rendimento bruto total;"rendimento bruto; renda bruta; abatimentos/deducoes; RLIQ em blocos quando disponivel";1988;11;CZ$;CZ$ 1.000;CZ$ 1,00;Brasil. Ministerio da Economia, Fazenda e Planejamento. Secretaria da Fazenda Nacional. Secretaria da Receita Federal. Coordenacao do Sistema de Informacoes Economico-Fiscais. Imposto de Renda Pessoa Fisica 1988: ano 10. 1988.;;;;;;outputs/fontes-pedro-souza-irpf/pedro_herculano_anexos/ac1987_IRPF1988.pdf;2;157;Quadro 1;irpf_cief_1988_rendimento_bruto_totais;"irpf_cief_1988_rendimento_bruto_faixas; irpf_cief_1988_rendimento_bruto_totais";IRPF 1980-1989;"consta na Tabela 4; Brasil";"tabelas classificam por rendimento bruto; renda liquida aparece so em blocos | Fonte recebida por email de Pedro Herculano G. F. de Souza em 2026-09-24. O arquivo e um recorte digitalizado; a transcricao foi conferida visualmente contra a imagem da tabela. A tabela classifica por classes de rendimento bruto total; nao e a serie historica principal por renda liquida.";decidir tratamento metodologico: serie paralela ou harmonizacao por conceito
1988;1;1;"temos serie paralela: faixa por rendimento bruto; RLIQ so em blocos";Brasil;serie paralela por rendimento bruto;rendimento bruto total;"rendimento bruto; renda bruta; abatimentos/deducoes; RLIQ em blocos quando disponivel";1989;9;NCz$;NCz$ 1.000;NCz$ 1,00;Brasil. Ministerio da Fazenda. Secretaria da Receita Federal. Coordenacao do Sistema de Informacoes Economico-Fiscais. Imposto de Renda Pessoa Fisica 1989. Brasilia: Ministerio da Fazenda, 1989.;;https://archive.org/details/secretrec00_2_00impostpfisxi1989;Internet Archive;https://archive.org/download/secretrec00_2_00impostpfisxi1989/secretrec00_2_00impostpfisxi1989.pdf;https://archive.org/details/secretrec00_2_00impostpfisxi1989;outputs/fontes-pedro-souza-irpf/irpf_scan/pdf/secretrec00_2_00impostpfisxi1989.pdf;160;158;1;irpf_cief_1989_rendimento_bruto_totais;"irpf_cief_1989_renda_liquida_por_rendimento_bruto; irpf_cief_1989_renda_liquida_por_rendimento_bruto_totais; irpf_cief_1989_rendimento_bruto_faixas; irpf_cief_1989_rendimento_bruto_totais";IRPF 1980-1989;"consta na Tabela 4; Brasil";"tabelas classificam por rendimento bruto; renda liquida aparece so em blocos | A publicacao traz o fechamento nacional por classes de rendimento bruto total. O Quadro 2 decompoe a renda liquida calculada apenas em tres blocos, e nao em classes finas de renda liquida. Por isso, a extracao foi preservada como serie paralela por rendimento bruto e nao deve ser misturada diretamente com a serie nacional comparavel de renda liquida. Valores nacionais conferidos visualmente nas paginas PDF 160 e 166, com apoio do OCR XML e recortes ampliados. As pequenas diferencas remanescentes contra os totais publicados foram preservadas na tabela de totais.";decidir tratamento metodologico: serie paralela ou harmonizacao por conceito
1989;0;0;nao temos no banco atual;;;;;;;;;;;;;;;;;;;;;;n/d;n/d na Tabela 4;;"lacuna tambem na Tabela 4 de Pedro; documentar tentativas e/ou buscar acervo fisico"
1990;0;0;nao temos no banco atual;;;;;;;;;;;;;;;;;;;;;;n/d;n/d na Tabela 4;;"lacuna tambem na Tabela 4 de Pedro; documentar tentativas e/ou buscar acervo fisico"
1991;0;0;nao temos no banco atual;;;;;;;;;;;;;;;;;;;;;;n/d;n/d na Tabela 4;;"lacuna tambem na Tabela 4 de Pedro; documentar tentativas e/ou buscar acervo fisico"
1992;0;0;nao temos no banco atual;;;;;;;;;;;;;;;;;;;;;;n/d;n/d na Tabela 4;;"lacuna tambem na Tabela 4 de Pedro; documentar tentativas e/ou buscar acervo fisico"
1993;0;0;nao temos no banco atual;;;;;;;;;;;;;;;;;;;;;;n/d;n/d na Tabela 4;;"lacuna tambem na Tabela 4 de Pedro; documentar tentativas e/ou buscar acervo fisico"
1994;0;0;nao temos no banco atual;;;;;;;;;;;;;;;;;;;;;;n/d;n/d na Tabela 4;;"lacuna tambem na Tabela 4 de Pedro; documentar tentativas e/ou buscar acervo fisico"
1995;0;0;nao temos no banco atual;;;;;;;;;;;;;;;;;;;;;;n/d;n/d na Tabela 4;;"lacuna tambem na Tabela 4 de Pedro; documentar tentativas e/ou buscar acervo fisico"
1996;1;1;"temos bloco especifico moderno; nao esta no consolidado historico RLIQ";Brasil;bloco moderno especifico;rendimento tributavel bruto;"RBT; numero de declarantes; alguns totais de RLIQ/deducoes/imposto conforme fonte";1997;11;R$;R$ 1.000.000;"R$ 1,00; fonte rotula faixas em R$ 1.000 anuais";Brasil. Ministerio da Fazenda. Secretaria da Receita Federal. Tributacao da Renda no Brasil Pos-Real. Brasilia: Dupligrafica, 2001.;;;;;;outputs/fontes-pedro-souza-irpf/pedro_herculano_anexos/ac1996_TribPosReal.pdf;"5; 6";"148; 149";Anexo 4;irpf_tributacao_pos_real_2001_rendimento_tributavel_totais;"irpf_tributacao_pos_real_2001_rendimento_tributavel_faixas; irpf_tributacao_pos_real_2001_rendimento_tributavel_totais";Tributacao da renda no Brasil pos-Real;"consta na Tabela 4; Brasil";"Fonte recebida por email de Pedro Herculano G. F. de Souza em 2026-09-24. O arquivo e um recorte digitalizado; a transcricao foi conferida visualmente contra a imagem da tabela. A tabela usa faixas de renda tributavel anual e nao distribui a renda liquida historica principal.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1997;1;1;"temos bloco especifico moderno; nao esta no consolidado historico RLIQ";Brasil;bloco moderno especifico;rendimento tributavel bruto;"RBT; numero de declarantes; alguns totais de RLIQ/deducoes/imposto conforme fonte";1998;11;R$;R$ 1.000.000;"R$ 1,00; fonte rotula faixas em R$ 1.000 anuais";Brasil. Ministerio da Fazenda. Secretaria da Receita Federal. Tributacao da Renda no Brasil Pos-Real. Brasilia: Dupligrafica, 2001.;;;;;;outputs/fontes-pedro-souza-irpf/pedro_herculano_anexos/ac1997_TribPosReal.pdf;"5; 6";"148; 149";Anexo 4;irpf_tributacao_pos_real_2001_rendimento_tributavel_totais;"irpf_tributacao_pos_real_2001_rendimento_tributavel_faixas; irpf_tributacao_pos_real_2001_rendimento_tributavel_totais";Tributacao da renda no Brasil pos-Real;"consta na Tabela 4; Brasil";"Fonte recebida por email de Pedro Herculano G. F. de Souza em 2026-09-24. O arquivo e um recorte digitalizado; a transcricao foi conferida visualmente contra a imagem da tabela. A tabela usa faixas de renda tributavel anual e nao distribui a renda liquida historica principal.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1998;1;1;"temos bloco especifico moderno; nao esta no consolidado historico RLIQ";Brasil;bloco moderno especifico;rendimento tributavel bruto;"RBT; numero de declarantes; alguns totais de RLIQ/deducoes/imposto conforme fonte";1999;11;R$;"R$ 1.000.000 na Tabela III-A; R$ 1.000 no Quadro 04";"R$ 1,00; fonte rotula faixas em R$ 1.000 anuais";Brasil. Ministerio da Fazenda. Secretaria da Receita Federal. Coordenacao-Geral de Estudos Economico-Tributarios. Analise Economica da DIRPF 1999. Texto para Discussao 09. Brasilia: Secretaria da Receita Federal, agosto de 2000.;;http://www.receita.fazenda.gov.br/Publico/estudotributarios/estatisticas/11AnaliseEconomicaDIRPF1999.pdf;oficial/governo;http://www.receita.fazenda.gov.br/Publico/estudotributarios/estatisticas/11AnaliseEconomicaDIRPF1999.pdf;https://web.archive.org/web/20151113053942id_/http://www.receita.fazenda.gov.br/Publico/estudotributarios/estatisticas/11AnaliseEconomicaDIRPF1999.pdf;outputs/fontes-pedro-souza-irpf/analise_economica_dirpf_1999.pdf;10;;;irpf_dirpf_1999_rendimento_tributavel_totais;"irpf_dirpf_1999_rendimento_tributavel_faixas; irpf_dirpf_1999_rendimento_tributavel_totais";Analise Economica DIRPF 1999;"consta na Tabela 4; Brasil";"A soma das faixas da Tabela III-A e do Quadro 05 fecha com R$ 215.413,41 milhoes. O total de rendimentos tributaveis do Quadro 04, somando formulario completo e simplificado, e R$ 215.413.405,34 mil, equivalente a R$ 215.413,40534 milhoes; a diferenca e apenas arredondamento. Ja as frequencias diferem: Quadro 04 soma 10.470.710 declarantes com rendimentos tributaveis, enquanto Tabela II-A/Quadro 05 soma 11.056.038 por faixa. O Rendimento Tributavel Liquido total aparece no Quadro 04, mas nao ha distribuicao direta por faixa nesta extracao.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
1999;0;0;nao temos no banco atual;;;;;;;;;;;;;;;;;;;;;;n/d;n/d na Tabela 4;;"lacuna tambem na Tabela 4 de Pedro; documentar tentativas e/ou buscar acervo fisico"
2000;1;1;"temos bloco especifico moderno; nao esta no consolidado historico RLIQ";Brasil;bloco moderno especifico;rendimento tributavel bruto;"RBT; numero de declarantes; alguns totais de RLIQ/deducoes/imposto conforme fonte";2001;41;R$;;;"Torres, A. M. Modelos de tributacao otima da renda: o calculo de aliquotas marginais assintoticas para o Brasil no ano de 2000. Dissertacao (Mestrado em Economia), Universidade de Brasilia, Brasilia, 2003; copia textual acessivel como monografia IX Premio Tesouro Nacional 2004.";torres_2003_dirpf_2001;http://www.receita.fazenda.gov.br/Publico/estudotributarios/estatisticas/22%20Consolida%20DIRPF%202001.pdf;oficial/governo;http://www.receita.fazenda.gov.br/Publico/estudotributarios/estatisticas/22%20Consolida%20DIRPF%202001.pdf;https://web.archive.org/web/20210609080412id_/http://www.receita.fazenda.gov.br/Publico/estudotributarios/estatisticas/22%20Consolida%20DIRPF%202001.pdf;outputs/fontes-pedro-souza-irpf/consolida_dirpf_2001.pdf;;;;irpf_torres_2003_dirpf_2001_rendimento_tributavel_totais;"irpf_torres_2003_dirpf_2001_rendimento_tributavel_acima; irpf_torres_2003_dirpf_2001_rendimento_tributavel_intervalos; irpf_torres_2003_dirpf_2001_rendimento_tributavel_totais";Torres (2003);"consta na Tabela 4; Brasil";"A Tabela 4 de Pedro Herculano mapeia o ano-calendario 2000 como Torres (2003), ordenado por RBT e reportando RBT. O anexo de Torres traz dados acumulados por corte de renda tributavel anual: numero de declaracoes acima do corte, valor total da renda tributavel acima do corte em R$ milhoes e renda media em R$ mil. A tabela de intervalos foi derivada por diferenca entre cortes consecutivos; a tabela acumulada preserva a forma publicada. A fonte primaria Consolida DIRPF 2001 foi baixada pelo Wayback Machine e confirma o contexto, ano-calendario 2000 e totais gerais, mas nao traz a distribuicao longa por cortes. Ha pequena diferenca entre o anexo de Torres e o quadro resumo da Receita: Torres soma R$ 276.112,97 milhoes e 13.906.144 declaracoes na linha total, enquanto a Receita informa R$ 276.149,34 milhoes de rendimento tributavel e 13.906.145 declarantes no total geral. A diferenca foi documentada sem harmonizacao artificial.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
2001;0;0;nao temos no banco atual;;;;;;;;;;;;;;;;;;;;;;n/d;n/d na Tabela 4;;"lacuna tambem na Tabela 4 de Pedro; documentar tentativas e/ou buscar acervo fisico"
2002;1;1;"temos bloco especifico moderno; nao esta no consolidado historico RLIQ";Brasil;bloco moderno especifico;rendimento tributavel bruto;"RBT; numero de declarantes; alguns totais de RLIQ/deducoes/imposto conforme fonte";2003;7;R$;R$ 1.000.000;;Brasil. Ministerio da Fazenda. Secretaria da Receita Federal. O imposto de renda das pessoas fisicas no Brasil. Estudos Tributarios 14. Brasilia: Secretaria da Receita Federal, dezembro de 2004.;receita_2004_o_ir_pessoas_fisicas_brasil;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/outros-estudos/o-imposto-de-renda-das-pessoas-fisicas-no-brasil-2004;oficial/governo;;;outputs/fontes-pedro-souza-irpf/o_imposto_de_renda_pessoas_fisicas_brasil_2004.pdf;9;5;Tabela 03 - Renda tributavel bruta, por faixas de renda;irpf_receita_2004_dirpf_2003_rendimento_tributavel_totais;"irpf_receita_2004_dirpf_2003_rendimento_tributavel_faixas; irpf_receita_2004_dirpf_2003_rendimento_tributavel_totais";O IR das pessoas fisicas no Brasil;"consta na Tabela 4; Brasil";"Fonte mapeada por Pedro Herculano para o ano-calendario 2002 como `O IR das pessoas ... (BRASIL. MF. SRF, 2004)`, com abrangencia Brasil, ordenamento por RBT e renda reportada RBT. A Tabela 03 da publicacao traz renda tributavel bruta por faixas de renda mensal, para a DIRPF 2003, ano-base 2002. Os limites publicados sao mensais; foram adicionados limites anuais equivalentes por multiplicacao simples por 12. Os valores monetarios agregados da fonte estao em R$ milhoes. A soma das faixas da renda tributavel bruta e R$ 322.804,98 milhoes, enquanto o total publicado e R$ 322.805,00 milhoes; a diferenca de R$ 0,02 milhao e compat?vel com arredondamento das linhas publicadas.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
2003;0;0;nao temos no banco atual;;;;;;;;;;;;;;;;;;;;;;n/d;n/d na Tabela 4;;"lacuna tambem na Tabela 4 de Pedro; documentar tentativas e/ou buscar acervo fisico"
2004;0;0;nao temos no banco atual;;;;;;;;;;;;;;;;;;;;;;n/d;n/d na Tabela 4;;"lacuna tambem na Tabela 4 de Pedro; documentar tentativas e/ou buscar acervo fisico"
2005;0;0;nao temos no banco atual;;;;;;;;;;;;;;;;;;;;;;n/d;n/d na Tabela 4;;"lacuna tambem na Tabela 4 de Pedro; documentar tentativas e/ou buscar acervo fisico"
2006;1;1;"temos bloco especifico moderno; nao esta no consolidado historico RLIQ";Brasil;bloco moderno especifico;renda bruta total;"renda bruta total; declaracoes; Gini publicado/recalculado quando disponivel";2007;10;R$;R$ 1,00;R$ 1,00 anuais;Castro, F. A. de. Imposto de renda da pessoa fisica: comparacoes internacionais, medidas de progressividade e redistribuicao. Dissertacao (Mestrado em Economia), Universidade de Brasilia, Brasilia, 2014.;castro_2014_renda_bruta_2006;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/trabalhos-academicos/irpf-comparacoes-internacionais;oficial/governo;;;outputs/fontes-pedro-souza-irpf/castro_2014_irpf_comparacoes_internacionais.pdf;99;99;Tabela 46 - Distribuicao da Renda Bruta para o ano de 2006;irpf_castro_2014_2006_renda_bruta_total_totais;"irpf_castro_2014_2006_renda_bruta_total_faixas; irpf_castro_2014_2006_renda_bruta_total_totais";"Castro (2014); Medeiros, Souza e Castro (2015a)";"consta na Tabela 4; Brasil";"Fonte mapeada por Pedro Herculano para o ano-calendario 2006 como Castro (2014), Medeiros, Souza e Castro (2015a), com abrangencia Brasil, ordenamento por RTOT e rendas reportadas RBT, RNT e RTOT. A Tabela 46 de Castro (2014) traz a distribuicao da renda bruta para o ano de 2006 por 10 faixas aproximadamente proporcionais de declaracoes. No capitulo 7, a fonte define renda bruta como soma dos rendimentos tributaveis, rendimentos com tributacao exclusiva na fonte e rendimentos isentos e nao tributaveis. A tabela extraida aqui registra a distribuicao por faixa do total dessa renda bruta/RTOT; a decomposicao RBT, tributacao exclusiva e isentos por faixa nao aparece na Tabela 46. O ano-exercicio 2007 foi mantido apenas como inferencia operacional da correspondencia usual ano-calendario 2006 -> DIRPF/exercicio 2007; a tabela publicada informa diretamente o ano de 2006. A soma transcrita das faixas fecha exatamente com o total publicado de declaracoes e de renda bruta. O Gini recalculado por Brown com esses pontos foi 0,581132, coerente com o 0,581 publicado pela fonte.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
2007;1;1;temos GNIRPF por rendimentos totais;Brasil;GNIRPF moderna;rendimentos totais em faixas de salario minimo mensal;"RBT; tributacao exclusiva; isentos/nao tributaveis; RTOT; base de calculo; bens; dividas; imposto";2008;11;R$;R$ 1.000.000;salario minimo mensal;Brasil. Ministerio da Fazenda. Secretaria da Receita Federal do Brasil. Grandes Numeros DIRPF 2008 - ano-calendario 2007. Brasilia: Receita Federal, 2015.;gnirpf_2008_ac2007_rendimentos_totais;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2008-2009.xlsx/@@download/file;oficial/governo;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2008-2007.pdf/@@download/file;https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/imposto-de-renda/estudos-por-ano/grandes-numeros-do-IRPF-2008-a-2025/gn-irpf-2008-2007.pdf/view;outputs/fontes-pedro-souza-irpf/gn_irpf_2008_ano_calendario_2007.pdf;"22; 23";"14; 15";Tabela 9 - Resumo das Declaracoes Por Faixa de Rendimentos Totais;irpf_gnirpf_2008_ac2007_rendimentos_totais_totais;"irpf_gnirpf_2008_ac2007_rendimentos_totais_faixas; irpf_gnirpf_2008_ac2007_rendimentos_totais_totais";GNIRPF anos-calendario 2007-2013;"consta na Tabela 4; Brasil";"Fonte mapeada por Pedro Herculano para o ano-calendario 2007 como GNIRPF ano-calendario 2007 (BRASIL. MF. SRF, 2015), com abrangencia Brasil, ordenamento por RLIQ, RBT, RNT e RTOT e rendas reportadas RLIQ, RBT, RNT e RTOT. A tabela extraida aqui usa a Tabela 9 do GNIRPF 2008, Resumo das Declaracoes Por Faixa de Rendimentos Totais, com valores em R$ milhoes. A fonte traz Rendim. Tribut., Rendim. Tribut. Exclus. e Rendim. Isentos; o RTOT foi derivado como a soma desses tres componentes. A coluna Base de Calculo (RTL) foi preservada como proxy observada de rendimento/base tributavel liquida, mantendo o rotulo original da fonte. As diferencas monetarias residuais decorrem do armazenamento em ponto flutuante nas celulas Excel; os valores foram arredondados a 6 casas em R$ milhoes nos CSVs.";"ok; revisar unidade, moeda e conceito antes de usar em graficos/modelos"
